count_i, smass, sfr, m_age, l_age, AV 
10423 5.199 -4.265 0.305 -0.118 3.999
10424 5.564 -4.016 0.098 -0.331 0.036
10425 5.258 -4.169 0.277 -0.177 0.148
10426 5.524 -4.027 0.190 -0.253 0.253
10427 5.633 -3.552 0.241 -0.566 3.786
10428 5.413 -3.855 0.246 -0.341 0.177
10429 5.212 -4.245 0.299 -0.134 3.985
1043 5.372 -3.898 0.241 -0.285 0.062
10430 5.486 -3.596 0.196 -0.521 0.142
10431 5.735 -3.036 0.178 -0.589 2.245
10432 5.418 -3.554 0.192 -0.558 0.071
10433 5.518 -3.721 0.229 -0.736 3.830
10434 5.365 -3.659 0.242 -0.510 0.074
10435 5.632 -3.713 0.263 -0.259 1.983
10436 5.385 -3.792 0.231 -0.383 0.291
10437 5.723 -3.679 0.148 -0.508 0.818
10438 5.229 -4.227 0.291 -0.145 3.960
10439 5.513 -3.353 0.182 -0.753 0.065
1044 6.106 -3.681 0.125 -0.066 2.528
10440 5.445 -3.879 0.226 -0.271 1.075
10441 5.641 -4.002 0.105 -0.284 0.119
10442 5.755 -4.042 -0.005 -0.357 0.100
10443 6.556 -4.043 0.483 0.378 3.919
10444 5.708 -4.080 0.029 -0.333 0.062
10445 5.646 -3.733 0.219 -0.332 0.366
10446 5.645 -3.967 0.124 -0.287 0.155
10447 5.625 -3.505 0.127 -0.324 0.082
10448 5.482 -3.719 0.258 -0.772 3.920
10449 5.524 -3.142 0.122 -0.901 0.103
1045 5.623 -3.126 0.165 -0.529 1.746
10450 5.734 -2.856 0.057 -0.585 0.364
10451 5.199 -4.264 0.288 -0.130 4.000
10452 5.987 -3.936 0.140 -0.064 0.495
10453 5.606 -3.060 0.089 -0.923 0.054
10454 5.724 -2.953 0.090 -0.946 0.036
10455 5.572 -3.344 0.188 -0.848 0.205
10456 5.612 -4.058 0.096 -0.289 0.112
10457 5.199 -4.264 0.308 -0.117 3.997
10458 5.490 -3.969 0.204 -0.253 0.274
10459 5.632 -3.662 0.235 -0.286 0.949
