count_i, smass, sfr, m_age, l_age, AV, E(B-V) 
1307 7.370 -2.614 0.429 0.161 1.739 0.8702
1308 7.306 -3.000 0.444 0.309 0.923 0.7232
1309 6.798 -1.529 -0.496 -0.872 1.060 0.3819
131 6.367 -3.258 -0.086 -0.487 0.765 0.3627
1310 6.576 -1.773 -0.431 -0.885 0.416 0.2157
1311 6.938 -1.896 -0.036 -0.506 1.396 0.5656
1312 6.903 -3.061 0.060 -0.182 0.651 0.4313
1313 6.137 -2.435 -0.067 -1.163 0.408 0.1117
1314 6.200 -2.434 0.007 -0.798 0.607 0.2891
1315 6.262 -3.281 -0.027 -0.423 0.123 0.1890
1316 5.979 -3.852 0.178 -0.224 0.447 0.3751
1317 5.957 -3.502 0.112 -0.385 0.165 0.1999
1318 5.938 -2.682 -0.001 -0.659 0.312 0.2102
1319 5.430 -3.988 0.268 -0.291 3.910 1.2644
132 6.891 -2.673 -0.234 -0.472 3.826 1.1497
1320 6.296 -3.257 -0.088 -0.488 0.693 0.3570
1321 5.399 -3.907 0.258 -0.274 0.133 0.2466
1322 6.057 -2.991 0.162 -1.018 0.631 0.2074
1323 5.386 -3.988 0.255 -0.233 1.463 0.8321
1324 10.967 -0.107 0.476 0.444 1.658 1.1496
1325 6.282 -2.633 0.089 -1.182 2.685 0.8165
1326 6.384 -2.042 -0.216 -0.905 0.206 0.1381
1327 6.265 -2.552 0.117 -1.297 3.775 1.0555
1328 6.115 -2.731 0.116 -1.269 0.317 0.0763
1329 5.827 -3.242 0.203 -0.942 3.855 1.0789
133 5.923 -2.976 0.096 -1.182 0.641 0.1896
1330 6.562 -2.488 0.153 -1.046 2.293 0.6796
1331 7.238 -3.476 0.101 0.003 0.697 0.6315
1332 6.205 -2.469 -0.061 -1.466 0.862 0.2245
1333 6.370 -2.243 -0.040 -1.417 0.698 0.1613
1334 6.361 -2.374 0.008 -1.391 0.230 0.0429
1335 7.864 -2.802 0.452 0.361 3.257 1.5280
1336 8.033 -3.043 0.466 0.400 3.602 1.6433
1337 7.734 -2.847 0.428 0.340 1.185 0.7944
1338 7.738 -2.995 -0.351 -0.443 2.656 0.9117
1339 8.073 -2.723 0.460 0.383 2.060 1.1484
134 6.132 -2.700 0.106 -1.239 2.437 0.6867
1340 7.994 -3.216 0.390 0.289 0.900 0.7242
1341 8.028 -2.662 0.031 -0.036 1.123 0.7193
1342 8.098 -2.551 -0.105 -0.291 1.373 0.6319
1343 8.395 -2.917 0.461 0.407 0.761 0.7887
1344 8.378 -2.498 0.017 -0.052 0.607 0.6016
1345 8.501 -2.838 0.037 -0.058 0.411 0.4997
1346 8.697 -2.289 0.028 -0.034 0.484 0.5540
1347 8.823 -2.391 -0.027 -0.075 0.836 0.6561
1348 8.962 -2.307 0.466 0.421 0.619 0.7607
1349 8.857 -2.715 0.472 0.425 0.563 0.7634
135 6.066 -2.426 -0.108 -1.118 0.193 0.0529
1350 8.629 -2.181 0.374 0.280 0.564 0.6750
1351 8.440 -3.095 0.103 0.023 1.012 0.7206
1352 8.253 -2.675 0.014 -0.066 0.949 0.6878
1353 8.178 -2.564 0.407 0.305 0.599 0.6665
1354 7.720 -0.786 -0.456 -0.775 1.666 0.5743
1355 7.547 -0.768 -0.440 -0.838 1.685 0.5705
1356 7.925 -2.874 0.470 0.411 0.525 0.7947
1357 7.768 -2.906 0.046 -0.045 1.679 0.8795
1358 7.154 -1.217 -0.349 -0.945 1.006 0.3519
