# id in_final_catalog selection_bit
020330.67-062901.7 n non_uniform
020330.88-065536.4 y boss_core
020332.22-011525.8 n dr7_core
020334.79-063832.3 n boss_core
020337.29-051406.4 y boss_core
020339.60-010725.2 n non_uniform
020342.09-045046.9 n non_uniform
020342.38-010802.3 y boss_core
020348.22-060133.9 y boss_core
020349.97-013717.8 n boss_core
020351.56-060628.9 y boss_core
020352.63-043933.1 n boss_core
020354.68-060844.0 y boss_core
020355.13-063622.0 n non_uniform
020356.80-023332.5 n boss_core
020357.40-060344.4 y boss_core
020400.85-063909.7 y boss_core
020402.45-062251.9 y boss_core
020403.90-042205.9 y boss_core
020404.15-004802.5 y boss_core
020405.51-064005.1 n non_uniform
020407.68-062359.0 y boss_core
020411.04-042526.9 n boss_core
020411.24-043953.4 n boss_core
020411.47-051032.7 y boss_core
020411.57-064716.7 y boss_core
020414.13-041323.8 n boss_core
020417.76-065239.8 y boss_core
020420.15-015552.5 n boss_core
020422.01-060132.1 y boss_core
020423.94-050619.6 n boss_core
020424.08-063813.7 n boss_core
020425.40-010206.2 n non_uniform
020426.02-050248.6 y boss_core
020427.68-043739.2 y boss_core
020428.58-031013.6 y boss_core
020429.81-043532.5 n boss_core
020431.69-042629.6 n boss_core
020436.54-042831.8 y boss_core
020438.06-051759.0 y boss_core
020440.64-063125.8 n non_uniform
020442.89-051620.1 n boss_core
020444.95-021554.4 n boss_core
020446.31-051022.5 n boss_core
020448.69-015101.7 y boss_core
020450.76-041628.6 n boss_core
020452.48-022621.8 y boss_core
020452.84-033711.5 y boss_core
